product,month,inQty,qtr,timeAvailable,dayAvailable,dayShutDown,process,eqp,cost,ct,oee,pass,eqpQty,eqpTimeAvailable,prodProcess,variable,solver_qty,Remark,hourRequired,hourAvailable,eqpUtilisation,eqpRequired,eqpCapacity,TCost,reportDate
Product_37,19M06,129851,19Q2,2592000.0,30.0,0.0,Clinching,Clincher_02,1.5,36.4,1.0,1.0,7.0,18144000.0,19M06Product_37Clinching,19M06Product_37ClinchingClincher_02,100341.0,First Optimal,1014.559,5040.0,0.20130138888888888,1.4091097222222222,671640.9037551616,150511.5,2020-06-25 16:53:37
Product_37,19M06,129851,19Q2,2592000.0,30.0,0.0,Clinching,Clincher_Subcon,3.0,36.4,1.0,1.0,99.0,256608000.0,19M06Product_37Clinching,19M06Product_37ClinchingClincher_Subcon,29510.1,First Optimal,298.37989999999996,71280.0,0.0041860255331088655,0.4144165277777777,3960143.180051119,88530.29999999999,2020-06-25 16:53:37
Product_37,19M06,129851,19Q2,2592000.0,30.0,0.0,Testing,Tester_Subcon,4.6,22.0,1.0,1.0,99.0,256608000.0,19M06Product_37Testing,19M06Product_37TestingTester_Subcon,0.0,First Optimal,0.0,71280.0,0.0,0.0,11664000.0,0.0,2020-06-25 16:53:37
Product_37,19M06,129851,19Q2,2592000.0,30.0,0.0,HeatStaking,HeatStake_Subcon,10.8,23.0,1.0,1.0,99.0,256608000.0,19M06Product_37HeatStaking,19M06Product_37HeatStakingHeatStake_Subcon,17155.3,First Optimal,109.60330555555555,71280.0,0.00153764457850106,0.15222681327160492,10733938.682295777,185277.24,2020-06-25 16:53:37
Product_37,19M06,129851,19Q2,2592000.0,30.0,0.0,Pressing,HydraulicPress_Subcon,0.6,24.8,1.0,1.0,99.0,256608000.0,19M06Product_37Pressing,19M06Product_37PressingHydraulicPress_Subcon,0.0,First Optimal,0.0,71280.0,0.0,0.0,,0.0,2020-06-25 16:53:37
Product_41,19M06,28,19Q2,2592000.0,30.0,0.0,HeatStaking,HeatStake_04,4.6,180.0,1.0,1.0,1.0,2592000.0,19M06Product_41HeatStaking,19M06Product_41HeatStakingHeatStake_04,0.0,First Optimal,0.0,720.0,0.0,0.0,112695.65217391304,0.0,2020-06-25 16:53:37
Product_41,19M06,28,19Q2,2592000.0,30.0,0.0,Testing,Tester_04,2.3,30.5,1.0,1.0,1.0,2592000.0,19M06Product_41Testing,19M06Product_41TestingTester_04,28.0,First Optimal,0.23722222222222222,720.0,0.0003294753086419753,0.0003294753086419753,103673.84000950615,64.39999999999999,2020-06-25 16:53:37
Product_41,19M06,28,19Q2,2592000.0,30.0,0.0,Pressing,HydraulicPress_01,0.5,446.9,1.0,1.0,26.0,67392000.0,19M06Product_41Pressing,19M06Product_41PressingHydraulicPress_01,28.0,First Optimal,3.4758888888888886,18720.0,0.00018567782526115857,0.004827623456790123,1284554.3505133665,14.0,2020-06-25 16:53:37
Product_41,19M06,28,19Q2,2592000.0,30.0,0.0,Clinching,Clincher_02,1.5,240.0,1.0,1.0,7.0,18144000.0,19M06Product_41Clinching,19M06Product_41ClinchingClincher_02,0.0,First Optimal,0.0,5040.0,0.0,0.0,671640.9037551616,0.0,2020-06-25 16:53:37
Product_41,19M06,28,19Q2,2592000.0,30.0,0.0,Clinching,Clincher_Subcon,3.0,240.0,1.0,1.0,99.0,256608000.0,19M06Product_41Clinching,19M06Product_41ClinchingClincher_Subcon,28.0,First Optimal,1.8666666666666667,71280.0,2.6187803965581742e-05,0.0025925925925925925,3960143.180051119,84.0,2020-06-25 16:53:37
Product_41,19M06,28,19Q2,2592000.0,30.0,0.0,Testing,Tester_Subcon,4.6,30.5,1.0,1.0,99.0,256608000.0,19M06Product_41Testing,19M06Product_41TestingTester_Subcon,0.0,First Optimal,0.0,71280.0,0.0,0.0,11664000.0,0.0,2020-06-25 16:53:37
Product_41,19M06,28,19Q2,2592000.0,30.0,0.0,HeatStaking,HeatStake_Subcon,9.2,180.0,1.0,1.0,99.0,256608000.0,19M06Product_41HeatStaking,19M06Product_41HeatStakingHeatStake_Subcon,28.0,First Optimal,1.4,71280.0,1.9640852974186307e-05,0.0019444444444444444,10733938.682295777,257.59999999999997,2020-06-25 16:53:37
Product_41,19M06,28,19Q2,2592000.0,30.0,0.0,Pressing,HydraulicPress_Subcon,1.0,446.9,1.0,1.0,99.0,256608000.0,19M06Product_41Pressing,19M06Product_41PressingHydraulicPress_Subcon,0.0,First Optimal,0.0,71280.0,0.0,0.0,,0.0,2020-06-25 16:53:37
Product_46,19M06,0,19Q2,2592000.0,30.0,0.0,Pressing,HydraulicPress_01,1.8,124.1,1.0,1.0,26.0,67392000.0,19M06Product_46Pressing,19M06Product_46PressingHydraulicPress_01,0.0,First Optimal,0.0,18720.0,0.0,0.0,1284554.3505133665,0.0,2020-06-25 16:53:37
Product_46,19M06,0,19Q2,2592000.0,30.0,0.0,Clinching,Clincher_02,2.3,40.0,1.0,1.0,7.0,18144000.0,19M06Product_46Clinching,19M06Product_46ClinchingClincher_02,0.0,First Optimal,0.0,5040.0,0.0,0.0,671640.9037551616,0.0,2020-06-25 16:53:37
Product_46,19M06,0,19Q2,2592000.0,30.0,0.0,Clinching,Clincher_Subcon,4.6,40.0,1.0,1.0,99.0,256608000.0,19M06Product_46Clinching,19M06Product_46ClinchingClincher_Subcon,0.0,First Optimal,0.0,71280.0,0.0,0.0,3960143.180051119,0.0,2020-06-25 16:53:37
